CustomerID,Gender,Age,Tenure,Contract,MonthlyCharges,Churn
73,Male,24,71,One Year,91,1
74,Female,37,26,Two Year,66,0
75,Female,53,59,One Year,90,0
76,Female,34,72,One Year,43,1
77,Female,39,20,One Year,130,0
78,Male,24,52,Month-to-Month,106,0
79,Male,69,53,Month-to-Month,36,0
80,Male,57,46,Month-to-Month,122,1
81,Female,40,13,Month-to-Month,39,0
82,Female,31,60,One Year,145,0
83,Male,27,3,Month-to-Month,137,0
84,Male,63,34,Two Year,116,0
85,Male,18,3,Month-to-Month,45,0
86,Male,63,27,Month-to-Month,143,0
87,Female,34,1,Two Year,68,0
88,Female,57,30,Two Year,87,1
89,Female,31,30,One Year,76,0
90,Male,66,71,One Year,38,0
91,Male,34,36,Two Year,91,0
92,Female,27,38,Two Year,71,0
93,Female,35,10,Two Year,130,0
94,Female,52,16,Two Year,119,0
95,Female,27,39,Two Year,21,0
96,Male,60,61,Month-to-Month,91,1
97,Female,37,71,One Year,54,0
98,Male,33,15,One Year,43,1
99,Male,34,49,Month-to-Month,89,1
100,Male,56,13,Month-to-Month,100,1
101,Male,67,42,Two Year,73,0
102,Female,45,63,Two Year,54,0
103,Male,26,7,Two Year,114,1
104,Female,37,1,Month-to-Month,41,1
105,Female,23,20,Two Year,44,0
106,Male,30,2,Month-to-Month,122,0
107,Male,26,50,Two Year,51,0
108,Female,65,35,One Year,125,1
109,Male,50,31,Two Year,58,0
110,Male,52,45,Month-to-Month,87,0
111,Male,39,7,One Year,119,0
112,Male,40,17,Two Year,26,0
113,Female,63,24,Two Year,49,1
114,Female,42,11,Two Year,114,0
115,Female,53,17,Month-to-Month,56,0
116,Female,24,30,Month-to-Month,123,1
117,Female,32,36,Month-to-Month,149,0
118,Male,46,9,Two Year,31,0
119,Female,25,36,One Year,91,1
120,Female,54,66,One Year,75,1
121,Female,27,60,Two Year,71,1
122,Female,27,71,Month-to-Month,134,0
123,Male,67,72,One Year,65,0
124,Male,62,9,Month-to-Month,52,1
125,Male,30,12,One Year,134,1
126,Male,36,1,One Year,132,1
127,Female,65,67,One Year,128,1
128,Female,66,16,One Year,81,1
129,Male,40,9,Two Year,47,0
130,Female,32,24,Month-to-Month,85,0
131,Male,34,71,One Year,130,0
132,Male,27,51,Month-to-Month,120,0
133,Male,69,4,One Year,139,1
134,Male,57,58,One Year,134,1
135,Female,63,24,Month-to-Month,51,0
136,Male,50,9,Month-to-Month,54,1
137,Female,62,53,Two Year,39,0
138,Female,35,69,One Year,74,0
139,Male,21,12,Two Year,41,1
140,Female,21,42,Two Year,76,0
141,Female,32,70,Two Year,141,1
142,Male,48,60,Month-to-Month,51,1
143,Male,19,14,One Year,65,1
144,Male,29,11,Month-to-Month,92,0
145,Male,50,35,Month-to-Month,83,0
146,Male,63,3,One Year,138,1
147,Female,67,62,Two Year,148,0
148,Female,37,46,One Year,75,1
149,Male,19,43,One Year,45,0
150,Male,56,29,One Year,59,0
151,Female,18,32,One Year,91,0
152,Male,37,34,Month-to-Month,72,0
153,Male,41,68,Month-to-Month,114,0
154,Male,31,1,Month-to-Month,23,0
155,Female,66,26,One Year,131,0
156,Male,54,39,One Year,48,0
157,Female,58,13,Two Year,127,1
158,Female,46,35,One Year,123,0
159,Male,38,62,One Year,37,0
160,Female,49,62,Month-to-Month,103,1
161,Male,55,44,Two Year,114,0
162,Female,40,19,Month-to-Month,107,1
163,Female,46,44,One Year,73,1
164,Female,31,23,Month-to-Month,104,0
165,Male,24,41,One Year,71,0
166,Female,40,70,Month-to-Month,75,0
167,Male,34,72,One Year,50,0
168,Male,51,45,Month-to-Month,37,1
169,Male,49,57,Month-to-Month,122,0
170,Female,54,66,One Year,32,0
171,Female,22,23,Two Year,40,0
172,Male,59,38,Month-to-Month,88,0
173,Female,62,18,Month-to-Month,90,0
174,Male,37,3,Month-to-Month,131,1
175,Female,25,44,One Year,64,1
176,Male,25,5,Two Year,83,0
177,Female,41,28,Two Year,111,0
178,Male,42,43,One Year,20,0
179,Female,63,57,Month-to-Month,37,0
180,Male,44,66,Two Year,126,0
181,Male,49,70,One Year,76,0
182,Male,24,65,Month-to-Month,22,0
183,Female,29,13,One Year,37,0
184,Female,65,54,Month-to-Month,145,0
185,Male,24,2,Two Year,65,0
186,Female,62,22,Month-to-Month,84,0
187,Female,62,32,Month-to-Month,146,0
188,Female,25,11,One Year,86,0
189,Female,21,49,Month-to-Month,134,0
190,Male,45,13,Two Year,149,0
191,Male,63,40,Month-to-Month,21,1
192,Female,65,36,Month-to-Month,127,0
193,Female,33,40,Month-to-Month,41,0
194,Female,57,71,Month-to-Month,46,0
195,Male,51,16,Two Year,90,0
196,Male,69,60,Month-to-Month,82,0
197,Female,44,12,Two Year,37,0
198,Female,43,17,Month-to-Month,94,0
199,Female,60,49,Month-to-Month,106,0
200,Female,28,60,Two Year,76,0
201,Female,18,37,Two Year,93,0
202,Male,38,55,One Year,67,0
203,Male,49,38,Month-to-Month,42,0
204,Female,28,28,Two Year,30,0
205,Female,40,31,One Year,70,0
206,Male,21,28,One Year,100,0
207,Male,19,8,Month-to-Month,21,0
208,Female,37,19,Month-to-Month,140,0
209,Male,45,30,Month-to-Month,97,0
210,Male,26,71,One Year,112,0
211,Female,60,27,One Year,84,1
212,Female,22,16,Two Year,36,0
213,Female,27,54,Two Year,37,0
214,Male,26,15,Month-to-Month,102,1
215,Female,20,16,Month-to-Month,27,1
216,Male,48,46,Two Year,130,0
217,Male,52,2,One Year,50,0
218,Female,21,50,Two Year,93,1
219,Female,24,25,Two Year,30,0
220,Female,33,61,Month-to-Month,44,0
221,Female,33,17,Two Year,41,0
222,Female,45,3,Month-to-Month,74,0
223,Male,56,72,Month-to-Month,93,1
224,Male,67,68,Two Year,114,0
225,Male,30,27,Month-to-Month,101,0
226,Male,61,40,Month-to-Month,34,1
227,Female,37,42,Month-to-Month,40,1
228,Male,62,28,One Year,104,0
229,Female,21,17,Month-to-Month,64,1
230,Female,41,48,Two Year,134,0
231,Female,49,3,One Year,44,1
232,Female,39,4,Month-to-Month,27,0
233,Female,61,69,Two Year,132,0
234,Male,22,54,Two Year,82,0
235,Male,51,11,Month-to-Month,113,1
236,Female,57,6,One Year,57,1
237,Male,49,46,One Year,84,0
238,Male,41,5,One Year,95,1
239,Female,54,70,One Year,60,0
240,Male,25,40,Two Year,148,0
241,Female,64,19,Month-to-Month,80,0
242,Female,35,30,Month-to-Month,37,0
243,Female,61,54,Month-to-Month,54,0
244,Male,26,63,Two Year,54,0
245,Male,19,36,Month-to-Month,118,0
246,Female,18,45,Two Year,63,0
247,Male,24,20,Two Year,123,0
248,Female,59,67,One Year,127,0
249,Female,37,13,One Year,41,1
250,Female,68,43,One Year,67,1
251,Male,28,49,Two Year,112,0
252,Male,37,31,One Year,24,1
253,Female,62,44,Month-to-Month,70,0
254,Male,19,40,Two Year,109,0
255,Male,50,17,Month-to-Month,83,0
256,Female,39,41,One Year,100,0
257,Female,45,53,Two Year,120,0
258,Female,48,24,Two Year,102,0
259,Female,52,33,Month-to-Month,37,0
260,Male,27,25,One Year,120,0
261,Female,39,43,Two Year,65,1
262,Female,34,50,One Year,32,0
263,Male,60,61,Month-to-Month,52,0
264,Female,55,46,Month-to-Month,22,1
265,Female,67,63,Month-to-Month,140,1
266,Female,24,72,Month-to-Month,56,1
267,Female,54,39,Two Year,37,0
268,Female,30,19,Two Year,138,1
269,Male,46,22,Month-to-Month,149,0
270,Male,43,55,Two Year,55,1
271,Female,20,19,Month-to-Month,93,1
272,Female,56,52,Two Year,134,0
273,Female,27,54,Two Year,82,0
274,Female,54,42,Month-to-Month,42,0
275,Female,40,23,Two Year,72,0
276,Female,37,70,One Year,65,0
277,Female,51,31,Month-to-Month,26,0
278,Female,21,38,Month-to-Month,25,0
279,Female,49,64,Month-to-Month,138,0
280,Female,62,45,Two Year,23,0
281,Female,59,6,Two Year,107,0
282,Male,35,8,Month-to-Month,39,1
283,Male,69,14,One Year,20,0
284,Male,18,6,One Year,70,1
285,Female,40,66,Two Year,80,0
286,Male,61,13,Two Year,37,0
287,Male,30,65,Two Year,60,1
288,Female,21,11,Month-to-Month,132,1
289,Male,55,22,Month-to-Month,73,0
290,Female,26,68,One Year,144,0
291,Male,54,72,One Year,115,1
292,Male,63,35,Two Year,50,1
293,Female,48,32,Month-to-Month,100,0
294,Male,19,17,One Year,101,0
295,Male,67,22,One Year,119,0
296,Female,33,32,Two Year,103,1
297,Female,58,12,Month-to-Month,52,0
298,Male,38,69,Two Year,98,0
299,Female,38,72,Month-to-Month,109,1
300,Male,19,63,Two Year,87,0
301,Male,69,10,Two Year,77,0
302,Female,53,35,Month-to-Month,76,0
303,Female,24,13,One Year,105,1
304,Female,32,35,Two Year,119,0
305,Female,54,62,Two Year,89,0
306,Female,26,9,Two Year,121,1
307,Female,18,28,One Year,143,0
308,Male,33,38,Month-to-Month,139,0
309,Female,40,47,One Year,126,0
310,Male,41,48,Month-to-Month,24,0
311,Male,63,23,One Year,131,0
312,Male,41,2,Two Year,25,1
313,Male,27,53,One Year,147,0
314,Female,56,15,Month-to-Month,131,0
315,Female,65,2,Month-to-Month,32,0
316,Female,28,34,Two Year,28,0
317,Male,47,56,Month-to-Month,30,0
318,Male,57,44,Two Year,47,0
319,Male,50,49,One Year,59,0
320,Male,24,17,Two Year,76,1
321,Female,23,55,Month-to-Month,61,1
322,Female,60,36,Month-to-Month,102,1
323,Female,67,56,Month-to-Month,39,1
324,Male,69,24,Two Year,94,1
325,Female,25,61,Two Year,74,0
326,Female,33,65,Month-to-Month,85,0
327,Female,66,2,One Year,102,0
328,Female,38,61,Month-to-Month,39,0
329,Male,21,59,Month-to-Month,26,0
330,Male,64,7,Month-to-Month,87,0
331,Male,44,4,Month-to-Month,106,0
332,Female,52,14,Month-to-Month,88,0
333,Male,18,71,Two Year,24,0
334,Male,33,5,One Year,106,0
335,Male,48,7,Two Year,114,0
336,Male,55,67,Month-to-Month,84,0
337,Female,35,36,One Year,123,1
338,Female,54,47,Month-to-Month,122,1
339,Male,27,10,One Year,27,0
340,Male,66,53,Two Year,129,1
341,Male,40,59,One Year,85,0
342,Male,36,52,Month-to-Month,62,0
343,Male,66,2,Two Year,43,0
344,Male,59,26,One Year,69,0
345,Male,24,12,Month-to-Month,78,0
346,Female,47,4,One Year,101,0
347,Female,55,60,Month-to-Month,39,0
348,Male,58,62,Month-to-Month,89,0
349,Male,60,26,Month-to-Month,114,0
350,Female,61,28,Month-to-Month,91,1
351,Female,35,1,One Year,140,0
352,Female,23,39,Two Year,46,0
353,Female,29,43,Month-to-Month,65,1
354,Male,28,53,Month-to-Month,32,1
355,Male,65,31,Two Year,143,0
356,Female,19,36,Two Year,29,0
357,Male,45,43,Month-to-Month,47,1
358,Female,35,58,Two Year,136,0
359,Female,40,47,Month-to-Month,45,0
360,Female,30,8,Month-to-Month,24,0
361,Male,61,41,One Year,129,1
362,Female,37,29,One Year,50,1
363,Male,41,66,One Year,61,0
364,Female,30,55,Two Year,131,1
365,Female,44,12,Two Year,128,0
366,Male,32,8,Month-to-Month,124,1
367,Female,38,71,Month-to-Month,139,0
368,Female,56,48,One Year,74,0
369,Male,19,50,Two Year,70,0
370,Male,27,62,Two Year,96,0
371,Male,35,66,Two Year,100,0
372,Male,68,3,One Year,89,0
373,Male,54,38,One Year,132,0
374,Female,65,32,Month-to-Month,133,1
375,Male,26,43,Month-to-Month,79,0
376,Male,29,55,Month-to-Month,77,0
377,Female,35,18,One Year,40,0
378,Male,62,19,One Year,109,0
379,Female,20,35,One Year,102,0
380,Male,37,40,Two Year,69,1
381,Male,52,17,Two Year,124,0
382,Female,47,20,Two Year,27,1
383,Female,20,69,Month-to-Month,134,1
384,Female,32,62,One Year,30,0
385,Female,35,47,Month-to-Month,137,0
386,Female,52,4,Two Year,90,0
387,Male,27,26,Month-to-Month,36,0
388,Male,60,17,Month-to-Month,78,0
389,Female,57,16,Month-to-Month,137,0
390,Female,25,55,Month-to-Month,139,0
391,Female,59,53,Month-to-Month,122,1
392,Male,45,49,One Year,125,1
393,Male,50,1,Month-to-Month,119,1
394,Female,34,44,Month-to-Month,145,1
395,Male,30,71,Month-to-Month,48,0
396,Female,56,4,One Year,73,1
397,Female,36,68,Two Year,48,0
398,Male,63,60,Two Year,113,1
399,Female,56,60,One Year,78,0
400,Female,66,25,Month-to-Month,89,0
401,Male,32,43,One Year,129,0
402,Female,54,25,One Year,52,0
403,Female,28,27,Two Year,148,1
404,Female,50,19,Two Year,132,1
405,Male,29,59,Month-to-Month,43,1
406,Female,33,68,One Year,74,0
407,Male,18,59,Month-to-Month,62,0
408,Male,39,16,Month-to-Month,51,0
409,Female,34,47,Two Year,33,0
410,Male,65,58,Two Year,120,0
411,Male,64,31,Month-to-Month,129,0
412,Female,36,66,Month-to-Month,114,1
413,Female,19,62,Month-to-Month,136,0
414,Female,33,21,Month-to-Month,29,0
415,Female,56,64,One Year,40,0
416,Male,38,69,Two Year,25,1
417,Male,62,20,Month-to-Month,80,1
418,Male,18,57,One Year,53,0
419,Female,40,56,Month-to-Month,65,1
420,Female,59,23,One Year,109,0
421,Female,40,30,Month-to-Month,20,1
422,Female,27,25,Month-to-Month,94,0
423,Male,37,61,Month-to-Month,47,0
424,Male,29,22,One Year,74,0
425,Male,48,43,One Year,112,0
426,Female,58,23,Two Year,26,0
427,Male,31,48,One Year,92,0
428,Female,23,54,Month-to-Month,127,1
429,Male,54,55,Month-to-Month,99,0
430,Male,61,49,One Year,50,0
431,Male,43,58,One Year,49,0
432,Female,32,19,One Year,129,1
433,Female,19,59,Month-to-Month,37,0
434,Male,18,70,One Year,28,0
435,Male,40,23,Two Year,45,0
436,Female,20,35,One Year,113,1
437,Male,20,19,Month-to-Month,149,0
438,Female,46,36,Two Year,121,1
439,Female,39,67,One Year,125,0
440,Male,31,51,Month-to-Month,78,0
441,Male,29,2,One Year,32,0
442,Female,33,58,One Year,132,1
443,Male,62,45,Two Year,100,0
444,Male,49,44,One Year,134,0
445,Female,21,37,Two Year,135,0
446,Female,23,6,Month-to-Month,140,0
447,Female,54,27,Month-to-Month,60,0
448,Female,55,66,One Year,27,1
449,Male,39,54,Month-to-Month,130,1
450,Male,56,56,One Year,144,1
451,Female,37,28,Month-to-Month,41,0
452,Female,25,23,One Year,131,1
453,Male,44,22,Month-to-Month,90,1
454,Female,41,67,One Year,39,0
455,Male,44,61,Two Year,102,0
456,Male,37,53,Two Year,113,0
457,Male,59,41,Month-to-Month,75,0
458,Male,27,42,Two Year,72,0
459,Male,37,13,Month-to-Month,67,0
460,Male,28,27,One Year,68,0
461,Male,18,61,Two Year,37,0
462,Female,67,43,One Year,117,0
463,Female,42,56,One Year,121,1
464,Female,60,41,Month-to-Month,74,0
465,Female,29,49,Two Year,86,0
466,Male,27,21,One Year,77,0
467,Male,34,60,Two Year,27,1
468,Female,23,66,One Year,100,0
469,Male,31,19,Month-to-Month,117,1
470,Female,35,70,Month-to-Month,30,0
471,Male,52,34,Two Year,27,0
472,Female,43,66,Two Year,36,0
473,Male,24,66,Month-to-Month,45,0
474,Female,59,21,One Year,31,0
475,Female,29,40,One Year,145,0
476,Female,25,50,One Year,37,1
477,Male,30,55,One Year,124,1
478,Female,41,59,Month-to-Month,141,0
479,Female,48,52,One Year,34,0
480,Female,21,14,Month-to-Month,90,1
481,Female,31,35,Month-to-Month,67,0
482,Female,57,21,Month-to-Month,56,0
483,Male,20,17,Two Year,74,1
484,Female,54,63,One Year,97,0
485,Female,18,5,Month-to-Month,147,1
486,Female,48,69,Two Year,89,1
487,Male,46,55,Month-to-Month,105,1
488,Male,29,49,One Year,56,0
489,Female,22,34,Month-to-Month,87,1
490,Female,30,70,Month-to-Month,93,0
491,Male,24,50,Month-to-Month,141,0
492,Female,39,43,Month-to-Month,56,1
493,Male,59,25,Two Year,53,0
494,Male,67,46,Month-to-Month,106,0
495,Male,54,20,Month-to-Month,43,0
496,Male,61,2,Month-to-Month,120,1
497,Female,28,38,Month-to-Month,98,1
498,Male,36,54,One Year,84,0
499,Female,26,9,One Year,65,0
500,Female,28,20,One Year,142,0
501,Female,61,40,Month-to-Month,23,1
502,Female,24,44,One Year,83,0
503,Male,49,39,One Year,128,0
504,Female,38,22,One Year,75,1
505,Female,24,58,Two Year,35,0
506,Male,46,47,Month-to-Month,71,0
507,Female,41,55,Month-to-Month,56,0
508,Female,59,25,Month-to-Month,46,1
509,Female,41,58,One Year,67,0
510,Female,57,20,Month-to-Month,76,0
511,Female,44,53,Month-to-Month,101,0
512,Male,62,27,Two Year,25,0
513,Female,23,25,Two Year,57,1
514,Female,24,47,One Year,39,0
515,Male,44,12,Two Year,116,1
516,Male,27,18,Month-to-Month,38,0
517,Male,58,51,Month-to-Month,54,0
518,Female,20,43,Month-to-Month,73,0
519,Female,39,31,Two Year,74,1
520,Male,28,18,One Year,89,0
521,Female,48,42,Two Year,49,1
522,Male,59,11,Two Year,42,0
523,Female,63,67,Two Year,83,1
524,Female,21,72,One Year,74,0
525,Female,19,41,Month-to-Month,74,1
526,Male,38,51,One Year,140,1
527,Male,64,54,Month-to-Month,99,0
528,Male,69,62,Month-to-Month,71,1
529,Male,53,26,Month-to-Month,121,0
530,Female,41,47,Two Year,64,1
531,Female,20,63,One Year,145,0
532,Female,63,19,Month-to-Month,104,0
533,Female,48,32,Two Year,67,0
534,Female,27,70,Two Year,142,0
535,Female,27,28,Two Year,28,0
536,Female,54,69,Month-to-Month,127,0
537,Female,28,51,One Year,142,0
538,Male,30,38,One Year,78,1
539,Male,37,59,One Year,98,0
540,Male,63,71,One Year,68,0
541,Female,52,18,One Year,103,0
542,Female,44,47,Month-to-Month,55,0
543,Male,20,68,Month-to-Month,129,0
544,Female,40,20,Month-to-Month,113,0
545,Female,38,32,Month-to-Month,44,0
546,Male,48,14,One Year,146,1
547,Male,62,9,One Year,103,1
548,Female,38,27,One Year,34,0
549,Female,61,24,One Year,47,0
550,Female,25,4,One Year,81,0
551,Female,45,53,One Year,88,1
552,Female,39,71,Month-to-Month,135,0
553,Female,43,67,Two Year,78,1
554,Female,64,20,One Year,36,1
555,Female,63,40,Month-to-Month,77,0
556,Male,25,59,Month-to-Month,93,0
557,Male,48,26,One Year,107,0
558,Male,20,17,Month-to-Month,34,0
559,Female,35,61,Two Year,90,0
560,Female,29,71,One Year,104,0
561,Female,56,59,Two Year,44,0
562,Male,48,16,Month-to-Month,51,0
563,Male,57,9,Month-to-Month,100,0
564,Male,52,31,Two Year,137,1
565,Male,62,6,Two Year,42,1
566,Female,54,72,Two Year,91,0
567,Male,65,50,Two Year,131,0
568,Male,37,63,Two Year,29,0
569,Female,35,12,Month-to-Month,72,1
570,Male,46,5,Month-to-Month,40,0
571,Female,35,25,One Year,105,0
572,Female,54,31,One Year,37,0
573,Male,27,41,Two Year,82,1
574,Female,22,23,Month-to-Month,81,0
575,Female,51,55,Two Year,88,0
576,Female,57,9,Two Year,77,0
577,Male,50,67,Month-to-Month,27,1
578,Female,36,9,Month-to-Month,80,1
579,Male,67,66,One Year,77,0
580,Male,64,70,Month-to-Month,54,0
581,Male,31,8,Month-to-Month,73,0
582,Female,43,44,Month-to-Month,92,0
583,Male,23,29,Month-to-Month,43,0
584,Male,56,9,Month-to-Month,101,1
585,Female,39,16,Month-to-Month,119,1
586,Male,21,44,Month-to-Month,38,0
587,Male,51,6,One Year,20,0
588,Male,65,35,One Year,91,1
589,Male,21,27,Month-to-Month,34,0
590,Male,19,13,One Year,90,0
591,Male,40,70,Month-to-Month,34,1
592,Female,37,24,One Year,30,0
593,Male,44,60,One Year,115,0
594,Male,30,45,Two Year,22,0
595,Female,52,12,Two Year,37,0
596,Male,58,20,Month-to-Month,139,0
597,Female,36,71,One Year,90,0
598,Male,38,33,Month-to-Month,139,0
599,Male,26,32,Month-to-Month,68,1
600,Male,28,52,Month-to-Month,29,0
601,Male,52,32,Two Year,145,0
602,Male,27,14,Month-to-Month,114,0
603,Male,58,34,Month-to-Month,45,0
604,Male,23,30,Month-to-Month,109,1
605,Male,56,24,Month-to-Month,52,1
606,Male,38,63,One Year,87,0
607,Male,31,20,One Year,106,1
608,Male,60,34,One Year,124,0
609,Female,67,5,One Year,63,1
610,Female,56,12,Month-to-Month,117,0
611,Male,56,68,Month-to-Month,83,1
612,Female,62,58,Month-to-Month,84,0
613,Female,65,29,Month-to-Month,127,0
614,Male,29,12,Two Year,62,1
615,Female,51,36,One Year,137,0
616,Female,56,38,Two Year,120,0
617,Male,68,18,Month-to-Month,90,0
618,Male,27,52,One Year,106,1
619,Female,27,54,One Year,144,1
620,Female,55,36,Two Year,129,0
621,Male,42,12,Two Year,64,1
622,Male,69,32,One Year,139,1
623,Male,29,30,Two Year,88,0
624,Male,18,25,Two Year,42,1
625,Female,43,36,Two Year,101,0
626,Male,53,4,Month-to-Month,97,1
627,Male,30,59,One Year,84,0
628,Female,36,42,Month-to-Month,147,0
629,Male,54,29,Month-to-Month,60,0
630,Male,48,43,Two Year,132,0
631,Female,46,47,Two Year,96,0
632,Female,44,34,Month-to-Month,141,1
633,Female,36,32,Month-to-Month,121,0
634,Female,29,43,Month-to-Month,125,0
635,Male,41,71,One Year,139,0
636,Male,56,16,One Year,36,0
637,Female,38,20,Month-to-Month,49,0
638,Male,41,63,Two Year,133,0
639,Male,39,68,Month-to-Month,105,0
640,Male,56,50,Month-to-Month,47,0
641,Male,48,16,Month-to-Month,98,0
642,Male,36,32,Month-to-Month,69,0
643,Male,30,47,Month-to-Month,134,1
644,Male,65,24,One Year,27,1
645,Male,51,56,Two Year,115,1
646,Female,67,35,Two Year,124,1
647,Female,59,27,One Year,21,1
648,Female,51,71,Month-to-Month,24,1
649,Female,44,24,Month-to-Month,111,0
650,Male,51,11,Two Year,83,0
651,Male,56,6,One Year,76,0
652,Female,44,47,Month-to-Month,82,0
653,Female,50,6,One Year,138,1
654,Female,21,38,Month-to-Month,20,0
655,Male,45,51,Month-to-Month,48,0
656,Male,24,10,Month-to-Month,112,1
657,Male,43,19,One Year,31,1
658,Male,43,69,Month-to-Month,58,0
659,Female,67,62,One Year,94,0
660,Female,38,1,Month-to-Month,66,1
661,Male,34,10,One Year,33,0
662,Female,49,48,Two Year,75,1
663,Female,44,26,One Year,81,0
664,Male,61,71,One Year,40,0
665,Male,19,60,Two Year,45,1
666,Male,61,64,Two Year,129,0
667,Male,66,72,Month-to-Month,66,1
668,Male,43,19,Month-to-Month,123,0
669,Male,45,33,Two Year,42,0
670,Male,38,27,Month-to-Month,99,0
671,Male,57,24,Month-to-Month,140,0
672,Female,65,49,Month-to-Month,31,1
673,Male,56,54,Month-to-Month,35,0
674,Female,52,40,Month-to-Month,31,0
675,Male,43,26,Two Year,47,0
676,Female,38,8,Month-to-Month,145,1
677,Male,23,25,Month-to-Month,70,1
678,Male,49,45,Two Year,48,1
679,Female,19,54,Month-to-Month,58,0
680,Female,29,50,One Year,92,1
681,Female,35,3,Month-to-Month,25,0
682,Male,31,49,Month-to-Month,115,0
683,Male,23,54,Month-to-Month,99,0
684,Female,19,68,Month-to-Month,106,0
685,Female,40,22,One Year,40,1
686,Female,33,40,One Year,136,0
687,Female,35,5,Month-to-Month,145,0
688,Male,19,18,Month-to-Month,23,0
689,Female,19,70,One Year,87,1
690,Male,62,17,One Year,98,0
691,Male,69,60,Month-to-Month,81,1
692,Male,62,38,One Year,51,0
693,Female,40,9,Month-to-Month,139,0
694,Male,62,51,Month-to-Month,42,0
695,Male,55,39,Month-to-Month,42,0
696,Female,65,63,One Year,23,0
697,Male,19,37,Two Year,33,1
698,Female,69,31,Month-to-Month,115,0
699,Male,27,60,One Year,116,0
700,Male,33,25,Two Year,98,0
701,Female,69,12,Month-to-Month,112,0
702,Male,60,13,Month-to-Month,98,0
703,Male,67,63,Month-to-Month,23,0
704,Male,61,19,One Year,103,1
705,Male,39,18,Month-to-Month,51,0
706,Female,60,4,Month-to-Month,136,1
707,Male,33,65,One Year,106,0
708,Female,64,23,One Year,107,0
709,Male,50,65,Month-to-Month,108,0
710,Female,57,59,Two Year,48,1
711,Female,41,21,One Year,23,0
712,Female,42,34,Two Year,119,1
713,Male,58,57,One Year,133,0
714,Male,28,18,One Year,140,0
715,Male,56,26,One Year,47,0
716,Female,29,27,Two Year,81,0
717,Female,56,61,Month-to-Month,20,0
718,Female,23,61,One Year,125,1
719,Male,63,24,Month-to-Month,45,0
720,Female,21,45,Two Year,62,0
721,Female,30,39,Month-to-Month,149,0
722,Male,65,41,Month-to-Month,146,0
723,Male,19,25,One Year,141,0
724,Female,28,56,Month-to-Month,93,1
725,Female,44,26,Month-to-Month,72,0
726,Female,50,36,Two Year,86,0
727,Male,63,57,Two Year,70,0
728,Female,64,17,One Year,53,1
729,Male,58,43,Two Year,102,1
730,Male,41,50,One Year,116,1
731,Male,39,62,Two Year,148,0
732,Female,40,51,Month-to-Month,113,0
733,Female,53,15,Two Year,38,0
734,Female,18,65,One Year,58,0
